,geo,Year,CPI,Immigrants,Population,Housing Index,GDP,emigration,unemployment,total_deaths,Exports,Imports,Immigrants_pcap,GDP_pcap,Emigrants_pcap,Deaths_pcap,Exports_pcap,Imports_pcap
119,Netherlands,2027,116.117,274091.281818,18019197.936364,178.406,968252.581818,106745.754545,1.884545,184931.772727,774195.532727,692668.901818,0.015485,54242.02633,0.005905,0.01033,0.043425,0.038856
120,Poland,2022,110.427273,234299.472727,37833458.545455,136.504545,576323.707273,161505.509091,0.9,479562.963636,280189.945455,273148.72,0.006192,15227.865959,0.004274,0.012676,0.007402,0.007217
121,Poland,2023,111.727273,237812.172727,37810306.272727,140.622273,596444.600909,150035.745455,0.390909,490844.2,294164.422727,285669.003636,0.006288,15765.582244,0.003975,0.01298,0.007774,0.007551
122,Poland,2024,113.027273,241324.872727,37787154.0,144.74,616565.494545,138565.981818,-0.118182,502125.436364,308138.9,298189.287273,0.006384,16303.298529,0.003677,0.013284,0.008146,0.007884
123,Poland,2025,114.327273,244837.572727,37764001.727273,148.857727,636686.388182,127096.218182,-0.627273,513406.672727,322113.377273,310709.570909,0.00648,16841.014814,0.003378,0.013589,0.008517,0.008217
124,Poland,2026,115.627273,248350.272727,37740849.454545,152.975455,656807.281818,115626.454545,-1.136364,524687.909091,336087.854545,323229.854545,0.006576,17378.7311,0.00308,0.013893,0.008889,0.00855
125,Poland,2027,116.927273,251862.972727,37717697.181818,157.093182,676928.175455,104156.690909,-1.645455,535969.145455,350062.331818,335750.138182,0.006672,17916.447385,0.002782,0.014197,0.00926,0.008884
126,Portugal,2022,105.526545,68419.0,10231868.781818,162.244182,219155.521818,20764.527273,3.021818,122502.709091,63069.176364,81436.403636,0.006649,21378.473233,0.00205,0.011955,0.006148,0.007939
127,Portugal,2023,106.250818,73737.636364,10207731.972727,169.507455,224072.066364,17854.054545,2.334545,124377.918182,64895.598182,83946.48,0.007169,21893.388224,0.001778,0.01216,0.006335,0.008195
128,Portugal,2024,106.975091,79056.272727,10183595.163636,176.770727,228988.610909,14943.581818,1.647273,126253.127273,66722.02,86456.556364,0.007689,22408.303214,0.001507,0.012365,0.006521,0.008451
129,Portugal,2025,107.699364,84374.909091,10159458.354545,184.034,233905.155455,12033.109091,0.96,128128.336364,68548.441818,88966.632727,0.008209,22923.218205,0.001236,0.01257,0.006708,0.008707
130,Portugal,2026,108.423636,89693.545455,10135321.545455,191.297273,238821.7,9122.636364,0.272727,130003.545455,70374.863636,91476.709091,0.008729,23438.133195,0.000964,0.012775,0.006895,0.008963
131,Portugal,2027,109.147909,95012.181818,10111184.736364,198.560545,243738.244545,6212.163636,-0.414545,131878.754545,72201.285455,93986.785455,0.009248,23953.048186,0.000693,0.01298,0.007082,0.009219
